tx_price,beds,baths,sqft,year_built,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,dates
295850.0,1.0,1.0,584.0,2013.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,107.0,9.0,30.0,19.0,89.0,6.0,47.0,58.0,33.0,65.0,84.0,234.0,81.0,9.0,3.0,2013.0,0
216500.0,1.0,1.0,612.0,1965.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,105.0,15.0,6.0,13.0,87.0,2.0,26.0,14.0,39.0,73.0,69.0,169.0,51.0,3.0,3.0,2006.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
279900.0,1.0,1.0,615.0,1963.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,183.0,13.0,31.0,30.0,101.0,10.0,74.0,62.0,28.0,15.0,86.0,216.0,74.0,8.0,3.0,2012.0,3
379900.0,1.0,1.0,618.0,2000.0,33541.0,Apartment / Condo / Townhouse,Wood Siding,,,198.0,9.0,38.0,25.0,127.0,11.0,72.0,83.0,36.0,25.0,91.0,265.0,92.0,9.0,3.0,2005.0,4
340000.0,1.0,1.0,634.0,1992.0,0.0,Apartment / Condo / Townhouse,Brick,,,149.0,7.0,22.0,20.0,83.0,10.0,50.0,73.0,37.0,20.0,75.0,88.0,30.0,9.0,3.0,2002.0,5
265000.0,1.0,1.0,641.0,1947.0,0.0,Apartment / Condo / Townhouse,Brick,,,146.0,10.0,23.0,27.0,86.0,9.0,60.0,52.0,28.0,15.0,86.0,168.0,58.0,8.0,3.0,2004.0,6
240000.0,1.0,1.0,642.0,1944.0,0.0,Single-Family,Brick,,,159.0,13.0,36.0,17.0,92.0,12.0,66.0,50.0,28.0,36.0,88.0,176.0,61.0,7.0,3.0,2011.0,7
388100.0,1.0,1.0,650.0,2000.0,33541.0,Apartment / Condo / Townhouse,Wood Siding,,,198.0,9.0,38.0,25.0,127.0,11.0,72.0,83.0,36.0,25.0,91.0,266.0,92.0,9.0,3.0,2005.0,8
240000.0,1.0,1.0,660.0,1983.0,0.0,Apartment / Condo / Townhouse,Brick,,,51.0,8.0,6.0,2.0,40.0,18.0,32.0,41.0,36.0,49.0,77.0,188.0,65.0,6.0,3.0,2013.0,9
250000.0,1.0,1.0,664.0,1965.0,0.0,Apartment / Condo / Townhouse,Brick,,,119.0,10.0,26.0,25.0,183.0,13.0,70.0,36.0,57.0,13.0,83.0,147.0,51.0,6.0,3.0,2007.0,10
335000.0,1.0,1.0,669.0,2006.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,148.0,10.0,27.0,23.0,57.0,5.0,37.0,29.0,34.0,29.0,88.0,248.0,86.0,6.0,3.0,2015.0,11
